"Register","Penalty"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
"Favor","Favor"
